id	context	predictions	aggregatedPredictions	category
1	An actor who has often done his best work playing athletes - from an English rugby player (''The Changing Room'') to a transsexual football player (''The World According to Garp'') - Mr. Lithgow is a seething figure of bruised flesh and wounded pride in the role of Serling's pugilist, Harlan ''Mountain'' McClintock.	[[0.047,0.228,0.203,0.408,0.116]]	[0.047,0.228,0.203,0.408,0.116]	positive
2	Dr. Benjamin, who retired about 15 years ago, was best known for his work on the phenomenon to which he gave the name transsexualism.	[[0.114,0.312,0.228,0.228,0.118]]	[0.114,0.312,0.228,0.228,0.118]	negative
3	Dr. Harry Benjamin, an endocrinologist who specialized in transsexualism and geriatric medicine, died Sunday at his apartment in the Murray Hill section of Manhattan.	[[0.223,0.634,0.117,0.014,0.012]]	[0.223,0.634,0.117,0.014,0.012]	negative
4	Its chapters concern, for example, the arts (particularly movies and ballet) and homosexuality; aspects of friendship between male homosexuals and ''straight'' women, as well as lesbians; sexual politics; prison; bar life; transvestism and transsexualism; sadomasochism; old age and homosexuality; and a great deal more.	[[0.005,0.005,0.063,0.387,0.54]]	[0.005,0.005,0.063,0.387,0.54]	very positive
5	A marriage license issued to a woman and a transsexual is being challenged by prosecutors who say it is not clear when a sex change operation legally takes effect.	[[0.132,0.647,0.172,0.034,0.015]]	[0.132,0.647,0.172,0.034,0.015]	negative
6	at the Downtown Cabaret Theater in Bridgeport, Mark Cheney's set changes from the streets and alleys of 19th-century London to the futuristic ''planet of the transsexual galaxy of Transylvania.''	[[0.137,0.768,0.084,0.007,0.004]]	[0.137,0.768,0.084,0.007,0.004]	negative
7	Within days Burnham gains Q clearance - access to nuclear secrets - loses his politically pious wife, becomes amorously entwined with a honey-haired Soviet spy and defuses a Cuban crisis of sorts by cutting a deal with a transsexual in-law.	[[0.198,0.609,0.162,0.019,0.011]]	[0.198,0.609,0.162,0.019,0.011]	negative
8	John Lithgow, who played the transsexual former football player Roberta Muldoon in ''The World According to Garp,'' was voted best supporting actor.	[[0.111,0.303,0.214,0.253,0.119]]	[0.111,0.303,0.214,0.253,0.119]	negative
9	He had told officers earlier in the day that he had shot and killed his wife in a dispute over a transsexual operation she was planning, authorities said.	[[0.077,0.53,0.292,0.085,0.016]]	[0.077,0.53,0.292,0.085,0.016]	negative
10	LEAD: The New Hampshire judicial system is considering its most unusual discrimination case thus far, a case involving a transsexual.	[[0.1,0.511,0.325,0.048,0.017]]	[0.1,0.511,0.325,0.048,0.017]	negative
11	But for being a transsexual and for having the operation and assuming a life style of a woman, the plaintiff would not have been discharged,'' said the judge, John F. Grady.	[[0.198,0.515,0.242,0.03,0.015]]	[0.198,0.515,0.242,0.03,0.015]	negative
12	looks sympathetically at transsexuals and transvestites, exploring the meaning of gender.	[[0.129,0.602,0.209,0.042,0.018]]	[0.129,0.602,0.209,0.042,0.018]	negative
13	Miss Allen, who is married to the film's writer and director, Brian De Palma, said her major contributions to the horror film about a murderous transsexual stalking the streets of New York were adding ''a sense of humor'' to her character, Liz, and suggesting that Liz dabble in the stock market.	[[0.165,0.64,0.162,0.022,0.011]]	[0.165,0.64,0.162,0.022,0.011]	negative
14	To choose someone whose only contacts with scouting have been a disturbed scoutmaster and the knowledge that a relative of Baden-Powell was engaged in a love affair with a transsexual brings no honor to you or the newspaper that you serve.	[[0.204,0.565,0.18,0.038,0.013]]	[0.204,0.565,0.18,0.038,0.013]	negative
15	Two new studies take issue with an earlier, widely publicized conclusion that surgery for transsexuals accomplishes little or nothing at great cost.	[[0.025,0.205,0.561,0.195,0.014]]	[0.025,0.205,0.561,0.195,0.014]	neutral
