id	context	predictions	aggregatedPredictions	category
1	Poland’s first openly gay and transsexual lawmakers took seats on the front bench of Parliament on Wednesday to protest hostile remarks by former President Lech Walesa.	[[0.123,0.627,0.211,0.027,0.012]]	[0.123,0.627,0.211,0.027,0.012]	negative
2	At a party hosted by Original Plumbing, a quarterly magazine devoted to transsexual male culture, at the Bell House in Gowanus, Brooklyn, Black Cracker (né Ellison Glenn) took the stage by storm, unleashing a barrage of rapid-fire lyrics to thick bounce tracks.	[[0.271,0.607,0.11,0.007,0.006]]	[0.271,0.607,0.11,0.007,0.006]	negative
3	In ''Hit and Miss,'' a new series that will be shown on the satellite service DirecTV, she portrays a character named Mia who is a hired assassin as well as a pre-op transsexual.	[[0.216,0.562,0.158,0.043,0.022]]	[0.216,0.562,0.158,0.043,0.022]	negative
4	8:30 A.M. (Bravo) TRANSAMERICA (2005) Felicity Huffman plays Bree, a preoperative transsexual who, though still technically a man, passes for a woman through the use of tasteful pink outfits, meticulously applied makeup and a breathy voice.	[[0.355,0.553,0.076,0.006,0.011]]	[0.355,0.553,0.076,0.006,0.011]	negative
5	TONY SHELDON had just finished playing a cross-dresser in an Australian run of ''The Producers'' in 2005 when he took on the role of the transsexual chanteuse Bernadette in a workshop for a new musical, ''Priscilla Queen of the Desert,'' based on the 1994 film. ''	[[0.089,0.535,0.321,0.04,0.015]]	[0.089,0.535,0.321,0.04,0.015]	negative
6	Brazilian transgender and transsexual civil servants will now be able to use their chosen names while on the job.	[[0.055,0.277,0.309,0.295,0.065]]	[0.055,0.277,0.309,0.295,0.065]	neutral
7	Dr. Person was a psychiatrist who examined what motivates transsexuals and transvestites, and argued that people shaped their lives by trying to live out their desires.	[[0.097,0.61,0.249,0.033,0.011]]	[0.097,0.61,0.249,0.033,0.011]	negative
8	The result: a "custom" option that lets users pick from about 50 terms, including transsexual, androgynous and intersex.	[[0.022,0.108,0.336,0.48,0.054]]	[0.022,0.108,0.336,0.48,0.054]	positive
9	Having completed a two-year journey, a transsexual is finding warm acceptance from most of her co-workers.	[[0.032,0.108,0.099,0.619,0.143]]	[0.032,0.108,0.099,0.619,0.143]	positive
10	AMAZING TRUTH ABOUT QUEEN RAQUELA, an 85-minute narrative, chronicles the story of a naive but street-smart Filipina transsexual prostitute named Raquela who decides to travel in order to find her prince charming.	[[0.177,0.587,0.162,0.049,0.026]]	[0.177,0.587,0.162,0.049,0.026]	negative
11	The sibling of a transsexual goes through a transformation of her own.	[[0.045,0.335,0.381,0.213,0.025]]	[0.045,0.335,0.381,0.213,0.025]	neutral
12	There are visible bits of evidence that 2010 will be remembered as the year of the transsexual.	[[0.061,0.243,0.224,0.416,0.056]]	[0.061,0.243,0.224,0.416,0.056]	positive
