id	context	predictions	aggregatedPredictions	category
1	The state of Goa in India, where homosexual relations are illegal, plans to treat teenagers who say they are gay, bisexual or transgender with programs that include counseling.	[[0.275,0.575,0.108,0.023,0.019]]	[0.275,0.575,0.108,0.023,0.019]	negative
2	In a story June 30 about Palestinian protesters whitewashing a gay pride rainbow flag, The Associated Press reported erroneously that homosexual acts are banned by law in the West Bank and Gaza Strip.	[[0.131,0.693,0.156,0.014,0.006]]	[0.131,0.693,0.156,0.014,0.006]	negative
3	The article, by a straight writer who used dating apps to find athletes, drew criticism that it endangered the lives of some Olympians from countries where homosexuality is illegal.	[[0.279,0.596,0.099,0.011,0.014]]	[0.279,0.596,0.099,0.011,0.014]	negative
4	Nigeria's president has signed a law that bans same-sex marriage and criminalizes homosexual associations, societies and meetings, with penalties of up to 14 years in jail.	[[0.15,0.613,0.197,0.028,0.013]]	[0.15,0.613,0.197,0.028,0.013]	negative
5	Florida's education commissioner on Tuesday rejected an assertion by a state lawmaker that a standardized testing organization aims to make public school students homosexual.	[[0.385,0.508,0.093,0.005,0.009]]	[0.385,0.508,0.093,0.005,0.009]	negative
6	The State Senate passed legislation on Thursday allowing private adoption agencies to deny placements that conflict with their religious or moral beliefs, including opposition to homosexuality.	[[0.19,0.662,0.123,0.015,0.01]]	[0.19,0.662,0.123,0.015,0.01]	negative
7	Uganda's president opposes an anti-gay bill passed by lawmakers that calls for life imprisonment for gays, even as he characterizes homosexuals as "abnormal" people who should be rehabilitated, according to excerpts of his letter to the speaker of parliament.	[[0.142,0.625,0.211,0.015,0.008]]	[0.142,0.625,0.211,0.015,0.008]	negative
8	New Jersey Governor Chris Christie said on Friday he disagreed with comments comparing homosexuality to alcoholism made by his potential 2016 Republican rival for the White House, Texas Governor Rick Perry.	[[0.096,0.587,0.263,0.042,0.012]]	[0.096,0.587,0.263,0.042,0.012]	negative
9	The Senate voted overwhelmingly on Thursday to reauthorize the Violence Against Women Act and expand its reach to American Indians and homosexuals, after Republicans opted to sidestep an expected partisan brawl.	[[0.251,0.629,0.102,0.01,0.009]]	[0.251,0.629,0.102,0.01,0.009]	negative
10	Uganda on Tuesday dismissed U.S. president Barack Obama's call to its leader Yoweri Museveni not to sign an anti-homosexuality law, saying the U.S. was trying to blackmail the east African country.	[[0.181,0.625,0.166,0.017,0.011]]	[0.181,0.625,0.166,0.017,0.011]	negative
