id	context	predictions	aggregatedPredictions	category
326	LEAD: In the novel ''Less Than Zero,'' passionless Los Angeles rich kids, spaced out on drugs and affluence, drift from Ferraris to glitzy clubs, from cocaine to bisexuality.	[[0.176,0.608,0.185,0.021,0.01]]	[0.176,0.608,0.185,0.021,0.01]	negative
327	The main character was a bisexual man with AIDS who knowingly continued his promiscuous ways with unsuspecting partners.	[[0.087,0.696,0.189,0.023,0.005]]	[0.087,0.696,0.189,0.023,0.005]	negative
328	The virus is firmly established among homosexual and bisexual men and intravenous drug abusers, and among their regular sexual partners.	[[0.054,0.251,0.321,0.309,0.065]]	[0.054,0.251,0.321,0.309,0.065]	neutral
329	Those Most at Risk He defined these groups of people as having an increased risk of infection with the virus that can cause acquired immune deficiency syndrome: * Homosexual and bisexual men.	[[0.264,0.549,0.134,0.034,0.019]]	[0.264,0.549,0.134,0.034,0.019]	negative
330	According to state and Federal health officials, a great number of Haitians have contracted acquired immune deficiency syndrome from people other than those who are considered at high risk: homosexual and bisexual men, intravenous drug abusers and hemophiliacs.	[[0.079,0.54,0.243,0.118,0.021]]	[0.079,0.54,0.243,0.118,0.021]	negative
331	Of the 17,000 cases diagnosed in the United States to date, more than 90 percent are from such groups: 73 percent have been homosexual or bisexual men, 17 percent intravenous drug users and 0.6 percent hemophiliacs who are dependent on blood clotting Factor VIII.	[[0.408,0.494,0.086,0.004,0.008]]	[0.408,0.494,0.086,0.004,0.008]	negative
332	LEAD: For the first time since the AIDS epidemic began, the number of new AIDS patients in New York City who are intravenous drug users has exceeded the number who are homosexual or bisexual men, the city's Health Commissioner said yesterday.	[[0.248,0.643,0.082,0.012,0.014]]	[0.248,0.643,0.082,0.012,0.014]	negative
333	Having done in his wife - and, it seems, seven of her own husbands as well - Fay offers herself as the next Mrs. McLeavy, only she has her eye on Dennis, who also happens to be the undertaker, a bank robber and the bisexual lover of McLeavy's son	[[0.099,0.536,0.301,0.049,0.015]]	[0.099,0.536,0.301,0.049,0.015]	negative
334	We still don't care whether Bruce (John Lithgow), a bisexual lawyer, and Prudence (Dianne Wiest), a writer for People magazine, ever get married or not.	[[0.227,0.639,0.112,0.013,0.009]]	[0.227,0.639,0.112,0.013,0.009]	negative
335	Therefore watching ''Triad's'' two men entwine may cause some viewers to suspect that this ballet is not about sibling rivalry at all; for these viewers, ''Triad'' may seem to concern homosexual or bisexual lovers whose affair is broken up by a woman.	[[0.195,0.571,0.199,0.02,0.016]]	[0.195,0.571,0.199,0.02,0.016]	negative
336	The national Centers for Disease Control has considered homosexual or bisexual men with multiple sexual partners to be at increased risk for AIDS, or acquired immune deficiency syndrome, which weakens the body's immune system, leaving the victim helpless to a variety of deadly infections.	[[0.278,0.573,0.121,0.015,0.013]]	[0.278,0.573,0.121,0.015,0.013]	negative
337	If the accumulating data confirm these observations while our experts emphasize the role of anal intercourse in the spread of AIDS among homosexual males in the United States, one must conclude that the data on the bisexual incidence of anal intercourse in Africa are incomplete or that other factors may be involved.	[[0.124,0.64,0.209,0.02,0.008]]	[0.124,0.64,0.209,0.02,0.008]	negative
338	"I'm bisexual," he explained.	[[0.029,0.18,0.292,0.452,0.047]]	[0.029,0.18,0.292,0.452,0.047]	positive
339	A Smile in His Lifetime'' by Joseph Hansen deals with a bisexual man who drifts away from his wife toward homosexuality.	[[0.129,0.558,0.199,0.083,0.032]]	[0.129,0.558,0.199,0.083,0.032]	negative
340	Sexual orientation is defined in the bill as heterosexuality, homosexuality or bisexuality.	[[0.274,0.595,0.098,0.016,0.017]]	[0.274,0.595,0.098,0.016,0.017]	negative
341	"Fourtune," the new musical at the Actors' Playhouse, is about a bisexual couple seducing a heterosexual couple ...	[[0.014,0.052,0.296,0.552,0.086]]	[0.014,0.052,0.296,0.552,0.086]	positive
