id	context	predictions	aggregatedPredictions	category
1	Since 1973, Congregation Beit Simchat Torah has tried to reconcile traditions transmitted across the millenniums with traditions that its members - gay, lesbian, bisexual and transgender Jews - have often had to make up on the fly, battling hostility, indifference and the AIDS epidemic at the same time. ''	[[0.105,0.602,0.284,0.006,0.003]]	[0.105,0.602,0.284,0.006,0.003]	negative
2	The state of Goa in India, where homosexual relations are illegal, plans to treat teenagers who say they are gay, bisexual or transgender with programs that include counseling.	[[0.275,0.575,0.108,0.023,0.019]]	[0.275,0.575,0.108,0.023,0.019]	negative
3	NEW YORK - Members of the Rivers of Living Water church, which serves the lesbian, gay, bisexual and transgender community, attend a Sunday service in a rented space on Manhattan's Upper West Side, but they are hoping to find a permanent home further north in the neighborhood of Harlem.	[[0.3,0.533,0.151,0.008,0.009]]	[0.3,0.533,0.151,0.008,0.009]	negative
4	A national group plans to seek anti-discrimination state laws to protect lesbian, gay, bisexual or transgender people in Mississippi, Alabama and Arkansas.	[[0.114,0.655,0.208,0.018,0.006]]	[0.114,0.655,0.208,0.018,0.006]	negative
5	Indonesia said on Thursday there was "no room" for the lesbian, gay, bisexual and transgender movement in the country, after Human Rights Watch criticised the government for failing to protect the group that has come under unprecedented attack.	[[0.234,0.509,0.2,0.037,0.021]]	[0.234,0.509,0.2,0.037,0.021]	negative
6	The Mormon church announced a campaign Tuesday for new laws that protect gay, lesbian, bisexual and transgender people from discrimination while somehow also protecting people who assert their religious beliefs.	[[0.097,0.659,0.217,0.02,0.007]]	[0.097,0.659,0.217,0.02,0.007]	negative
7	A troubled detective investigating an ice pick murder falls for the beautiful bisexual novelist suspected of committing the crime.	[[0.191,0.646,0.145,0.009,0.009]]	[0.191,0.646,0.145,0.009,0.009]	negative
8	Hundreds of photographs, papers and historical objects documenting the history of gay, lesbian, bisexual and transgender people are being added to the Smithsonian Institution's collection Tuesday, including items from the popular TV show "Will and Grace."	[[0.21,0.578,0.181,0.018,0.014]]	[0.21,0.578,0.181,0.018,0.014]	negative
9	Here are some book suggestions for parents, kids and teens on the lesbian, gay, bisexual, transgender or questioning gender experience.	[[0.11,0.6,0.263,0.021,0.006]]	[0.11,0.6,0.263,0.021,0.006]	negative
10	A majority of small business owners believe companies shouldn't be allowed to withhold goods or services from lesbian, gay, bisexual or transgender people based on an owner's religious beliefs, according to a survey released Monday.	[[0.178,0.619,0.156,0.033,0.013]]	[0.178,0.619,0.156,0.033,0.013]	negative
11	The new award, called the Stonewall Children's and Young Adult Literature Award, is for an English-language book ''of exceptional merit relating to the gay, lesbian, bisexual and transgendered experience,'' the association said on Monday.	[[0.102,0.404,0.215,0.206,0.073]]	[0.102,0.404,0.215,0.206,0.073]	negative
12	While politicians and judges in Utah tangle over whether same-sex marriage should be legal, filmmakers at the state's famous Sundance Film Festival found inspiration in the growing equality for the lesbian, gay, bisexual and transgender community.	[[0.102,0.474,0.283,0.118,0.023]]	[0.102,0.474,0.283,0.118,0.023]	negative
13	The Food and Drug Administration on Tuesday released its proposal for scrapping a decades-old lifetime ban on blood donation by gay and bisexual men.	[[0.107,0.643,0.218,0.023,0.009]]	[0.107,0.643,0.218,0.023,0.009]	negative
14	U.S. lawmakers in both houses of Congress introduced on Thursday a bill to protect and promote the rights of the international lesbian, gay, bisexual and transgender (LGBT) community.	[[0.134,0.626,0.184,0.04,0.017]]	[0.134,0.626,0.184,0.04,0.017]	negative
15	In a memorandum issued by President Obama in Washington and in a speech by Secretary of State Hillary Rodham Clinton here, the administration vowed to actively combat efforts by other nations that criminalize homosexual conduct, abuse gay men, lesbians, bisexuals or transgendered people, or ignore abuse against them.	[[0.262,0.504,0.206,0.016,0.012]]	[0.262,0.504,0.206,0.016,0.012]	negative
16	Azerbaijan, Russia and Armenia are the worst countries in Europe for lesbian, gay, bisexual, transgender and intersex (LGBTI) rights, but violence against LGBTI people remains rife across the continent, a rights group said late on Sunday.	[[0.503,0.34,0.135,0.007,0.014]]	[0.503,0.34,0.135,0.007,0.014]	very negative
17	After decades of resistance, the oil behemoth is taking carefully considered steps to support gay, lesbian, bisexual and transgender employees.	[[0.153,0.701,0.114,0.022,0.009]]	[0.153,0.701,0.114,0.022,0.009]	negative
18	Only five countries in the world have given lesbian, gay, bisexual and transgender (LGBT) people equal constitutional rights, global research shows, with most countries failing to protect the community from widespread discrimination and abuses.	[[0.341,0.587,0.059,0.007,0.006]]	[0.341,0.587,0.059,0.007,0.006]	negative
19	Congress voted to allow open military service by gay, lesbian and bisexual Americans, but the law banning their service is still in effect.	[[0.081,0.482,0.358,0.063,0.016]]	[0.081,0.482,0.358,0.063,0.016]	negative
20	The first-ever U.N. independent expert selected to examine violence and discrimination against lesbian, gay, bisexual, and transgender people has vowed to forge ahead with wide-ranging investigations despite formidable opposition to his appointment in a U.N. vote.	[[0.255,0.577,0.13,0.02,0.018]]	[0.255,0.577,0.13,0.02,0.018]	negative
21	Rutgers University has rolled out more specialized housing options and other resources for its gay, lesbian, bisexual and transgender students in the wake of Tyler Clementi’s death.	[[0.171,0.577,0.183,0.045,0.024]]	[0.171,0.577,0.183,0.045,0.024]	negative
22	New York Governor Andrew Cuomo on Tuesday banned non-essential state travel to Indiana in support of lesbian, gay, bisexual and transgender citizens.	[[0.192,0.643,0.147,0.01,0.008]]	[0.192,0.643,0.147,0.01,0.008]	negative
23	Joey Mogul, a Chicago lawyer, has turned her attention to the plight of gay men, lesbians, bisexuals and transgender people in the criminal justice system.	[[0.201,0.432,0.179,0.111,0.076]]	[0.201,0.432,0.179,0.111,0.076]	negative
24	To understand these changes, several lesbian, gay, bisexual and transgender locals shared their thoughts on what unites, divides and defines the gay community.	[[0.188,0.673,0.125,0.008,0.005]]	[0.188,0.673,0.125,0.008,0.005]	negative
25	To understand these changes, a number of lesbian, gay, bisexual and transgender locals shared their thoughts on what unites, divides and defines the gay community today.	[[0.193,0.668,0.123,0.01,0.006]]	[0.193,0.668,0.123,0.01,0.006]	negative
26	The Islamic State extremist group has claimed responsibility for killing at least 30 people for sodomy, the head of an international gay rights organization said Monday at the first-ever U.N. Security Council meeting spotlighting violence and discrimination against lesbians, gays, bisexuals and transgender people.	[[0.352,0.47,0.16,0.008,0.01]]	[0.352,0.47,0.16,0.008,0.01]	negative
27	Los Angeles Lesbian, Gay, Bisexual and Transgender Centre welcomes Bruce Jenner's transition to Caitlin at a crucial time.	[[0.238,0.462,0.092,0.113,0.095]]	[0.238,0.462,0.092,0.113,0.095]	negative
28	The 25th edition of NewFest, which features films on gay, lesbian, bisexual and transgender issues, appears mostly concerned with primal physical acts between same-sex couples.	[[0.254,0.636,0.07,0.018,0.022]]	[0.254,0.636,0.07,0.018,0.022]	negative
29	Lesbian, gay, bisexual and transgender rights activists said Tuesday they have been invited to meet with President Barack Obama on the sidelines of this week's Group of 20 summit in Russia.	[[0.265,0.604,0.115,0.007,0.01]]	[0.265,0.604,0.115,0.007,0.01]	negative
30	The Food and Drug Administration is outlining its plan to end the nation's lifetime ban on blood donations from gay and bisexual men, a 32-year-old policy that many medical groups and gay activists say is no longer justified.	[[0.165,0.663,0.152,0.012,0.008]]	[0.165,0.663,0.152,0.012,0.008]	negative
31	An economic backlash broadened Tuesday against a North Carolina law that critics say discriminates against lesbian, gay, bisexual and transgender people with PayPal announcing it has canceled a major expansion in the state.	[[0.509,0.387,0.087,0.005,0.013]]	[0.509,0.387,0.087,0.005,0.013]	very negative
32	A Tennessee bill allowing counselors to cite religious beliefs for refusing service to patients is headed to the governor, one of a raft of state measures that critics say discriminates against lesbians, gays, bisexuals and transgender individuals.	[[0.331,0.547,0.087,0.016,0.019]]	[0.331,0.547,0.087,0.016,0.019]	negative
33	Until recently, ads with lesbian, gay, bisexual and transgender themes were usually limited to media those consumers watched and read.	[[0.14,0.655,0.192,0.008,0.005]]	[0.14,0.655,0.192,0.008,0.005]	negative
34	The North Carolina Attorney General's office said it would not defend a new state law being challenged in federal court by opponents who say it discriminates against lesbian, gay, bisexual and transgender people.	[[0.133,0.621,0.197,0.036,0.013]]	[0.133,0.621,0.197,0.036,0.013]	negative
35	The National Park Service is launching an initiative to make places and people of significance to the history of lesbian, gay, transgender and bisexual Americans part of the national narrative.	[[0.094,0.565,0.251,0.07,0.019]]	[0.094,0.565,0.251,0.07,0.019]	negative
36	Black gay and bisexual men enrolled in a program that helps them overcome personal barriers to treatment are likely to keep taking a daily anti-HIV pill, according to new research.	[[0.059,0.208,0.202,0.412,0.119]]	[0.059,0.208,0.202,0.412,0.119]	positive
37	Law enforcement agencies in the United States regularly discriminate against and harass lesbian, gay, bisexual and transgender (LGBT) people, according to researchers at the University of California, Los Angeles.	[[0.221,0.625,0.125,0.016,0.012]]	[0.221,0.625,0.125,0.016,0.012]	negative
38	Despite bipartisan support, a special session of the legislature did not reach a deal to repeal a law limiting legal protections for lesbian, gay, bisexual and transgender people.	[[0.095,0.683,0.205,0.013,0.004]]	[0.095,0.683,0.205,0.013,0.004]	negative
39	A 17-year-old transgender student who advocated for lesbian, gay, bisexual and transgender rights at a suburban Wichita high school was named king of a winter ball after receiving the most votes from his fellow students.	[[0.127,0.634,0.209,0.019,0.011]]	[0.127,0.634,0.209,0.019,0.011]	negative
40	PayPal Holdings Inc on Tuesday canceled plans to open a global operations center in Charlotte, North Carolina and invest $3.6 million in the area after the state passed a controversial law targeting lesbian, gay, bisexual and transgender (LGBT) citizens.	[[0.262,0.595,0.118,0.012,0.013]]	[0.262,0.595,0.118,0.012,0.013]	negative
41	Gay, lesbian, bisexual and transgender Ugandans can face a barrage of discrimination and sometimes violence in their everyday lives, but scores of them turned out to march in a gay pride parade Saturday.	[[0.125,0.567,0.262,0.033,0.013]]	[0.125,0.567,0.262,0.033,0.013]	negative
42	The 17-year-old uses the labels of bisexual, trans and gender neutral all at once.	[[0.113,0.482,0.234,0.129,0.043]]	[0.113,0.482,0.234,0.129,0.043]	negative
43	At 12:01 a.m. Tuesday, 1st Lt. Josh Seefried, who founded an undercover group of 4,000 gay, lesbian, bisexual and transgender active-duty service members, dropped his pseudonym.	[[0.179,0.667,0.128,0.016,0.01]]	[0.179,0.667,0.128,0.016,0.01]	negative
44	Frustrated by what he saw as the non-inclusive world of lesbian, gay, bisexual, transgender and queer (LGBTQ) mobile apps, a Harvard student set out to create one that would be truly inclusive of all genders.	[[0.128,0.545,0.264,0.047,0.016]]	[0.128,0.545,0.264,0.047,0.016]	negative
45	&#8220;Appropriate Behavior&#8221; centers on a willful young bisexual woman in Brooklyn who embarks erratically on sexual adventures.	[[0.117,0.582,0.216,0.061,0.024]]	[0.117,0.582,0.216,0.061,0.024]	negative
46	A Massachusetts wedding for the executive director of Keshet, a Boston organization that works for lesbian, gay, bisexual and transgender equality, and the senior communications associate of American Jewish World Service, an international relief organization in New York.	[[0.095,0.232,0.207,0.31,0.156]]	[0.095,0.232,0.207,0.31,0.156]	positive
47	The Food and Drug Administration will end a lifetime prohibition on blood donation by gay and bisexual men, but it will block donations by men who have had sex with other men in the last 12 months.	[[0.099,0.491,0.308,0.078,0.024]]	[0.099,0.491,0.308,0.078,0.024]	negative
48	A percentage of the film's profits will be donated to the Trevor Project, a nationwide crisis and suicide prevention help line for lesbian, gay, bisexual, transgender and questioning youth.	[[0.178,0.58,0.174,0.046,0.022]]	[0.178,0.58,0.174,0.046,0.022]	negative
49	The state’s General Assembly is expected to rescind the contentious state law cutting legal protections for lesbian, gay, bisexual and transgender people.	[[0.107,0.673,0.195,0.018,0.006]]	[0.107,0.673,0.195,0.018,0.006]	negative
50	Robin Roberts said Friday that "it hurts my soul" that someone might not be welcome in Mississippi because of a law saying religious groups and some private businesses can cite moral beliefs to deny services to lesbian, gay, bisexual or transgender people.	[[0.591,0.308,0.086,0.004,0.011]]	[0.591,0.308,0.086,0.004,0.011]	very negative
51	The cities of the future must be open spaces that welcome diversity, the Canadian government said, vowing to push for formal recognition of lesbian, gay, bisexual and transgender communities (LGBT) in U.N. urban policies.	[[0.105,0.396,0.192,0.235,0.071]]	[0.105,0.396,0.192,0.235,0.071]	negative
52	Singer, model, prostitute, bisexual, drug addict, insane, beautiful,	[[0.016,0.028,0.062,0.57,0.324]]	[0.016,0.028,0.062,0.57,0.324]	positive
53	Musician Ringo Starr said on Wednesday he was canceling a performance planned for June in Cary, North Carolina, in protest of a state law decried as discriminatory against the lesbian, gay, bisexual and transgender community.	[[0.241,0.591,0.145,0.011,0.012]]	[0.241,0.591,0.145,0.011,0.012]	negative
54	Groups working to battle AIDS in sub-Saharan Africa and the Caribbean are the first winners of grants established by singer Elton John to end discrimination and violence against lesbian, gay, bisexual and transgender (LGBT) people, the singer said.	[[0.154,0.648,0.17,0.019,0.009]]	[0.154,0.648,0.17,0.019,0.009]	negative
55	The annual cabaret show at the Vivian Beaumont Theater, which benefits<b> Broadway Cares/Equity Fights AIDS</b> and <b>The Lesbian, Gay, Bisexual and Transgender Community Center</b>, features Broadway stars singing songs originally written for the opposite gender, with often hilarious results.	[[0.059,0.186,0.339,0.337,0.078]]	[0.059,0.186,0.339,0.337,0.078]	neutral
