id	context	predictions	aggregatedPredictions	category
1	NEW YORK - Members of the Rivers of Living Water church, which serves the lesbian, gay, bisexual and transgender community, attend a Sunday service in a rented space on Manhattan's Upper West Side, but they are hoping to find a permanent home further north in the neighborhood of Harlem.	[[0.3,0.533,0.151,0.008,0.009]]	[0.3,0.533,0.151,0.008,0.009]	negative
2	Until services can meet the needs of sex workers, drug users and transgender people without judgment or prejudice, the end of AIDS will remain out of reach.	[[0.219,0.541,0.213,0.016,0.011]]	[0.219,0.541,0.213,0.016,0.011]	negative
3	Cuban gay rights activists led by the daughter of President Raul Castro plan a mass symbolic wedding on Saturday to promote acceptance of gay and transgender Cubans in a country once notoriously hostile toward them.	[[0.088,0.643,0.236,0.025,0.008]]	[0.088,0.643,0.236,0.025,0.008]	negative
4	North Carolina's law limiting LGBT protections suffered a blow weeks ago when a judge ruled that three transgender residents must be allowed to use restrooms matching their gender identity at the campuses where they work and study.	[[0.159,0.633,0.186,0.013,0.009]]	[0.159,0.633,0.186,0.013,0.009]	negative
5	This is all that was left at a community center compound where a makeshift tent - erected for a large congregation of eunuchs, or transgender people, from across India - went up in flames on Sunday evening.	[[0.261,0.58,0.126,0.017,0.015]]	[0.261,0.58,0.126,0.017,0.015]	negative
6	Carol Marra is leading a new group of transgender models who are stepping into Brazil’s mainstream fashion industry.	[[0.11,0.622,0.238,0.021,0.008]]	[0.11,0.622,0.238,0.021,0.008]	negative
7	Caitlyn Jenner accepted the Arthur Ashe Courage Award at the ESPYs on Wednesday night while urging acceptance for others who are transgender.	[[0.139,0.612,0.223,0.016,0.01]]	[0.139,0.612,0.223,0.016,0.01]	negative
8	Civil rights and LGBT organizations sent a letter to President Obama in March, urging him to issue guidance to public schools on accommodating transgender students.	[[0.34,0.54,0.099,0.009,0.012]]	[0.34,0.54,0.099,0.009,0.012]	negative
9	A California board recommended parole on Thursday for a transgender inmate convicted of second-degree murder, the same day an appeals court put on hold a ruling requiring the state to pay for the prisoner's sex-reassignment surgery, officials said.	[[0.157,0.548,0.22,0.05,0.025]]	[0.157,0.548,0.22,0.05,0.025]	negative
10	A majority of small business owners believe companies shouldn't be allowed to withhold goods or services from lesbian, gay, bisexual or transgender people based on an owner's religious beliefs, according to a survey released Monday.	[[0.178,0.619,0.156,0.033,0.013]]	[0.178,0.619,0.156,0.033,0.013]	negative
11	The new award, called the Stonewall Children's and Young Adult Literature Award, is for an English-language book ''of exceptional merit relating to the gay, lesbian, bisexual and transgendered experience,'' the association said on Monday.	[[0.102,0.404,0.215,0.206,0.073]]	[0.102,0.404,0.215,0.206,0.073]	negative
12	Major Western nations are protesting a move to block gay and transgender groups from attending a high-level United Nations conference on AIDS.	[[0.081,0.586,0.297,0.027,0.008]]	[0.081,0.586,0.297,0.027,0.008]	negative
13	The National Women’s Hockey League, in just its second season, planned to unveil rules to protect transgender players.	[[0.098,0.34,0.22,0.242,0.1]]	[0.098,0.34,0.22,0.242,0.1]	negative
